x,y
-9.34244,38.97279
-9.32266,38.96819
-9.3225,38.96849
-9.33581,38.9725
-9.33547,38.9725
-9.32849,38.97361
-9.32825,38.9735
-9.33602,38.97894
-9.33481,38.97814
-9.32882,38.97446
-9.32983,38.97483
-9.3285,38.97409
-9.32849,38.97431
-9.32824,38.97439
-9.32832,38.97468
-9.32765,38.97404
-9.32849,38.97483
-9.32969,38.97622
-9.32873,38.97589
-9.32785,38.97604
-9.32819,38.97618
-9.33118,38.97712
-9.32995,38.97696
-9.32952,38.97681
-9.32764,38.97718
-9.32755,38.97713
-9.32686,38.97117
-9.32565,38.97056
-9.32479,38.96997
-9.32532,38.97032
-9.3242,38.96929
-9.32386,38.96982
-9.32267,38.96876
-9.32404,38.97
-9.32351,38.9702
-9.32649,38.97177
-9.32738,38.97387
-9.32347,38.97145
-9.32721,38.97499
-9.327,38.97763
-9.33598,38.98021
-9.30949,38.8619
-9.31457,38.86548
-9.31428,38.86503
-9.31578,38.86588
-9.31549,38.86604
-9.31512,38.86591
-9.31638,38.86638
-9.31598,38.86642
-9.31579,38.86643
-9.3163,38.86666
-9.31632,38.86684
-9.31587,38.8666
-9.31543,38.86628
-9.31564,38.86652
-9.31517,38.86657
-9.31493,38.86563
-9.3147,38.86578
-9.31493,38.86609
-9.31461,38.86613
-9.31422,38.8656
-9.31425,38.86579
-9.31411,38.86603
-9.31481,38.8662
-9.31479,38.86682
-9.31442,38.86681
-9.31406,38.86637
-9.31406,38.86643
-9.31366,38.8663
-9.31371,38.86633
-9.31429,38.86677
-9.31369,38.86673
-9.31334,38.86511
-9.31334,38.86535
-9.31269,38.86541
-9.31349,38.86568
-9.31346,38.86591
-9.31312,38.86617
-9.31243,38.86561
-9.31254,38.86653
-9.31627,38.86699
-9.3161,38.86731
-9.31534,38.86718
-9.31537,38.86733
-9.31508,38.86725
-9.31513,38.86737
-9.31631,38.86796
-9.31558,38.86773
-9.31528,38.86771
-9.31531,38.86786
-9.31513,38.86787
-9.31544,38.86798
-9.31506,38.86796
-9.31504,38.86818
-9.31507,38.86825
-9.31495,38.86742
-9.31466,38.86746
-9.31393,38.8672
-9.31375,38.86709
-9.3146,38.86764
-9.31444,38.86789
-9.31501,38.86799
-9.31489,38.86804
-9.31474,38.86813
-9.31434,38.86763
-9.3139,38.86763
-9.31406,38.868
-9.31349,38.86715
-9.31303,38.86724
-9.3094,38.86785
-9.31364,38.87032
-9.31279,38.87327
-9.26559,38.8493
-9.26477,38.85013
-9.26409,38.84779
-9.2622,38.84818
